symbol,calmar,win_rate,n_trades,n_signals,net_pnl_r,max_dd_r,hurst,yz_vol,eval_start,train_span_days,screened_at,gate_pass
AU200,9.0,0.6364,22.0,22.0,27.0,3.0,0.5183,0.00074587,2026-06-20T17:30:00+00:00,2374.0,2026-09-18T17:52:41.597016+00:00,True
AUDCAD,10.5,0.7143,7.0,7.0,10.5,1.0,0.5087,0.00030251,2026-06-20T05:45:00+00:00,3840.0,2026-09-18T17:52:42.065874+00:00,True
AUDCHF,18.0,0.8,10.0,10.0,18.0,1.0,0.5179,0.00034296,2026-06-20T17:30:00+00:00,3840.0,2026-09-18T17:52:42.569634+00:00,True
AUDCNH,15.5,0.7778,9.0,9.0,15.5,1.0,0.5072,0.00032662,2026-06-20T05:45:00+00:00,1834.0,2026-09-18T17:52:43.070876+00:00,True
AUDNZD,7.3333,0.7692,13.0,13.0,22.0,3.0,0.5109,0.00030511,2026-06-20T05:45:00+00:00,3840.0,2026-09-18T17:52:43.761050+00:00,True
AUDSGD,6.0,0.6667,9.0,9.0,12.0,2.0,0.5087,0.00029631,2026-06-20T05:45:00+00:00,694.0,2026-09-18T17:52:44.068127+00:00,True
CADCHF,999.0,1.0,10.0,10.0,25.0,0.0,0.5071,0.00034048,2026-06-20T05:45:00+00:00,3840.0,2026-09-18T17:52:44.637023+00:00,True
CHINA50,9.1,0.6571,35.0,35.0,45.5,5.0,0.5247,0.00074066,2026-06-20T05:45:00+00:00,1836.0,2026-09-18T17:52:45.817251+00:00,True
CHINAH,7.75,0.7778,9.0,9.0,15.5,2.0,0.5074,0.00132939,2026-06-20T05:45:00+00:00,3072.0,2026-09-18T17:52:46.220975+00:00,True
EURCAD,6.3333,0.625,32.0,32.0,38.0,6.0,0.5102,0.00022086,2026-06-20T05:45:00+00:00,3840.0,2026-09-18T17:52:47.680065+00:00,True
EURCHF,5.3333,0.6667,24.0,24.0,32.0,6.0,0.5147,0.00022428,2026-06-20T05:45:00+00:00,3840.0,2026-09-18T17:52:48.050833+00:00,True
EURGBP,9.1667,0.7222,18.0,18.0,27.5,3.0,0.5106,0.00019839,2026-06-20T05:45:00+00:00,3840.0,2026-09-18T17:52:48.541152+00:00,True
EURUSD,16.5,0.875,8.0,8.0,16.5,1.0,0.5106,0.00024727,2026-06-20T17:30:00+00:00,3838.0,2026-09-18T17:52:51.077566+00:00,True
