window_id,trades,win_rate,profit_factor,net_r,pnl_usd,roi_pct,max_dd_pct,passed
1,106,56.6,1.708,37.4,688.19,13.76,3.6,True
2,107,60.75,1.809,9.49,516.36,10.33,3.67,True
3,104,65.38,3.359,50.45,945.99,18.92,1.44,True
4,113,55.75,1.747,31.09,754.91,15.1,4.67,True
5,106,66.04,3.396,61.67,1003.59,20.07,1.61,True
6,125,57.6,2.622,36.49,793.89,15.88,2.29,True
7,112,66.96,2.345,48.23,830.81,16.62,2.63,True
8,115,63.48,2.691,46.53,828.76,16.58,2.87,True
9,125,56.0,1.255,16.0,324.91,6.5,5.15,False
10,122,56.56,1.576,13.09,533.91,10.68,3.38,True
11,123,53.66,1.901,32.55,710.92,14.22,2.85,True
12,116,66.38,3.825,44.41,989.65,19.79,1.78,True
13,121,48.76,1.63,3.66,584.1,11.68,4.2,True
14,120,62.5,2.04,52.61,824.69,16.49,4.18,True
15,127,57.48,1.622,40.74,703.26,14.07,3.97,True
16,121,56.2,1.917,30.46,721.71,14.43,3.46,True
17,123,62.6,2.126,43.05,829.05,16.58,2.73,True
18,160,63.12,2.773,56.0,955.45,19.11,1.38,True
19,121,56.2,2.359,25.18,638.13,12.76,2.54,True
20,116,62.07,2.576,54.18,863.02,17.26,2.16,True
