window_id,trades,win_rate,profit_factor,net_r,pnl_usd,roi_pct,max_dd_pct,passed
1,106,56.6,1.698,37.4,669.65,13.39,3.39,True
2,107,60.75,1.785,9.49,506.44,10.13,3.67,True
3,104,65.38,3.359,50.45,945.99,18.92,1.44,True
4,28,50.0,1.222,1.3,110.22,2.2,4.39,False
5,106,66.04,3.396,61.67,1003.59,20.07,1.61,True
6,125,57.6,2.622,36.49,793.89,15.88,2.29,True
7,112,66.96,2.345,48.23,830.81,16.62,2.63,True
8,115,63.48,2.715,46.53,796.16,15.92,2.36,True
9,21,47.62,1.034,-3.67,10.55,0.21,4.42,False
10,122,56.56,1.601,13.09,564.07,11.28,3.1,True
11,123,53.66,1.767,32.55,655.99,13.12,2.85,True
12,116,66.38,3.825,44.41,989.65,19.79,1.78,True
13,49,51.02,1.449,-0.34,298.08,5.96,4.2,False
14,120,62.5,2.04,52.61,824.69,16.49,4.18,True
15,127,57.48,1.622,40.74,702.92,14.06,3.8,True
16,121,56.2,1.657,30.46,680.47,13.61,3.67,True
17,123,62.6,2.126,43.05,829.05,16.58,2.73,True
18,160,63.12,2.773,56.0,955.45,19.11,1.38,True
19,121,56.2,2.359,25.18,638.13,12.76,2.54,True
20,116,62.07,2.576,54.18,863.02,17.26,2.16,True
