window_id,name,regime,trades,s1_trades,t1_trades,orb_trades,win_rate_pct,net_pnl_usd,net_roi_pct,max_dd_pct,status
1,Q1 2021 Crypto Bull Run & Stimulus Ignition,BULL_EXPANSION,34,14,5,15,35.294117647058826,-243.37849565671968,-4.8675699131343935,4.8675699131343935,FAIL
2,Q2 2021 May Liquidation Crash & China Ban,BULL_EXPANSION,123,81,28,14,56.09756097560976,593.0004645949793,11.860009291899587,4.589502231010909,PASS
3,Q3 2021 El Salvador Tender & Summer Rebound,SIDEWAYS_CHOP,127,95,30,2,47.24409448818898,-256.4251504132526,-5.128503008265052,5.128503008265052,FAIL
4,Q4 2021 ATH Blowoff & Distribution Peak,BEAR_CONTAGION,22,17,0,5,54.54545454545454,223.12549484331885,4.462509896866377,2.7940904010404393,PROFIT
5,Q1 2022 Fed Rate Hike Cycle & Macro Shock,SIDEWAYS_CHOP,136,105,30,1,47.05882352941176,500.0041358166018,10.000082716332036,3.2179109671619877,PASS
6,Q2 2022 Terra-Luna Collapse & 3AC Insolvency,BULL_EXPANSION,41,30,10,1,46.34146341463415,-250.67808485084333,-5.013561697016867,5.013561697016867,FAIL
7,Q3 2022 ETH Merge & Dollar Index Surge,BEAR_CONTAGION,32,32,0,0,31.25,-258.6029253023071,-5.172058506046142,5.172058506046142,FAIL
8,Q4 2022 FTX Bankruptcy & Cycle Capitulation,SIDEWAYS_CHOP,33,14,18,1,45.45454545454545,-123.5365181584475,-2.47073036316895,4.883676988010965,FAIL
9,Q1 2023 SVB Bank Run & Short Squeeze Recovery,SIDEWAYS_CHOP,43,23,19,1,41.86046511627907,-94.70952734621824,-1.8941905469243645,5.222483648129305,FAIL
10,Q2 2023 BlackRock Spot ETF Filing & Compression,SIDEWAYS_CHOP,71,37,33,1,63.38028169014085,383.17440022947994,7.663488004589598,3.896966643601128,PROFIT
11,Q3 2023 Mid-Summer Flash Flush & Yield Spike,SIDEWAYS_CHOP,24,17,7,0,33.33333333333333,-237.62384805271722,-4.752476961054344,4.897891679870854,FAIL
12,Q4 2023 Uptober Spot ETF Pre-Run & Rally,SIDEWAYS_CHOP,79,45,34,0,51.89873417721519,500.94939594419793,10.018987918883958,3.2699625507447387,PASS
13,Q1 2024 Spot ETF Inflows & Pre-Halving ATH,SIDEWAYS_CHOP,87,50,37,0,54.02298850574713,-28.479991262911426,-0.5695998252582285,4.349801466635546,FAIL
14,Q2 2024 Bitcoin Halving & Post-ATH Re-Accumulation,BULL_EXPANSION,61,36,23,2,50.81967213114754,-203.37395959722198,-4.0674791919444395,4.889032866942538,FAIL
15,Q3 2024 Global Carry Trade Unwind & 50bps Cut,SIDEWAYS_CHOP,67,46,20,1,43.28358208955223,-134.24651819829342,-2.684930363965868,4.866862482696652,FAIL
16,Q4 2024 US Presidential Election & Mega Breakout,SIDEWAYS_CHOP,132,97,33,2,53.03030303030303,500.18922597956043,10.003784519591209,2.6667758372931263,PASS
17,Q1 2025 Strategic Reserve & Institutional Wave,SIDEWAYS_CHOP,122,92,27,3,45.90163934426229,500.0102275777026,10.000204551554052,2.634239794888859,PASS
18,Q2 2025 Regulatory Clarity & Altcoin Momentum,SIDEWAYS_CHOP,80,53,27,0,45.0,500.25847511879056,10.005169502375812,3.103263186514441,PASS
19,Q3 2025 Summer Microstructure Volatility,SIDEWAYS_CHOP,59,33,26,0,50.847457627118644,199.7937167001637,3.9958743340032745,4.869699980815391,PROFIT
20,Q4 2025 Year-End Macro Flow Rebalancing,SIDEWAYS_CHOP,71,49,20,2,45.07042253521127,33.67566043907755,0.673513208781551,4.9709804338971315,PROFIT
21,Q1 2026 New Year Cross-Asset Flow,SIDEWAYS_CHOP,39,23,16,0,43.58974358974359,94.34659227377597,1.8869318454755195,4.986874549233542,PROFIT
22,Q2 2026 Modern Microstructure Flow,SIDEWAYS_CHOP,81,43,38,0,53.086419753086425,-149.32837174802535,-2.9865674349605067,4.305401060661861,FAIL
23,Q3 2026 Live Production Regime,BEAR_CONTAGION,11,10,0,1,72.72727272727273,126.74385387026905,2.534877077405381,1.2875733009569459,PROFIT
