window_id,window,name,trades,win_rate,net_r,pnl_usd,roi_pct,max_dd_pct,status,failures
1,W01,Late 2023 Fed Higher-for-Longer Pause,16,31.25,-7.015232067510764,-241.39648185654363,-4.827929637130873,4.827929637130837,FAIL,ROI (-4.83%) < Target (+10.00%); Win Rate (31.2%) < Target (40.0%); Net R (-7.02R) < Target (+2.50R)
2,W02,Q4 2023 Year-End Soft Landing Rally,28,35.714285714285715,-7.857943101358325,-239.4721512067875,-4.78944302413575,4.789443024135762,FAIL,ROI (-4.79%) < Target (+10.00%); Win Rate (35.7%) < Target (40.0%); Net R (-7.86R) < Target (+2.50R)
3,W03,Q1 2024 Global Disinflation Surge,112,55.35714285714286,15.537317698430126,295.6875088722038,5.913750177444077,4.126145118491963,FAIL,ROI (+5.91%) < Target (+10.00%)
4,W04,Early 2024 Tech & Index Expansion,25,48.0,1.199450967634688,248.17389742146977,4.963477948429396,4.272502468412977,FAIL,ROI (+4.96%) < Target (+10.00%); Net R (+1.20R) < Target (+2.50R)
5,W05,Spring 2024 Geopolitical Energy Spike,28,46.42857142857143,-5.623817888291365,-198.5052444366759,-3.970104888733518,4.478664631337633,FAIL,ROI (-3.97%) < Target (+10.00%); Net R (-5.62R) < Target (+2.50R)
6,W06,ECB Rate Cut Pivot & Dollar Strength,23,34.78260869565217,-5.271748992131997,-232.3425751168707,-4.646851502337414,4.646851502337395,FAIL,ROI (-4.65%) < Target (+10.00%); Win Rate (34.8%) < Target (40.0%); Net R (-5.27R) < Target (+2.50R)
7,W07,Mid-2024 High-Beta Equity Distribution,147,55.78231292517006,17.818593655691615,328.8594133707978,6.5771882674159565,4.492505713114806,FAIL,ROI (+6.58%) < Target (+10.00%)
8,W08,August 2024 Global Carry Trade Flash Unwind,29,48.275862068965516,0.12900355534734698,-87.17379149719976,-1.743475829943995,4.432026375718311,FAIL,ROI (-1.74%) < Target (+10.00%); Net R (+0.13R) < Target (+2.50R)
9,W09,Fed 50bps Jumbo Rate Cut Ignition,46,50.0,-2.8962057356050064,-87.03685534916227,-1.7407371069832454,4.469033062332489,FAIL,ROI (-1.74%) < Target (+10.00%); Net R (-2.90R) < Target (+2.50R)
10,W10,US Presidential Election Mega Breakout,60,51.66666666666667,-0.11964697733762097,-225.73225120417828,-4.514645024083565,4.514645024083457,FAIL,ROI (-4.51%) < Target (+10.00%); Net R (-0.12R) < Target (+2.50R)
11,W11,Year-End Cross-Currency Flow Rebalancing,18,38.88888888888889,-8.43999999999999,-206.26719999999932,-4.125343999999986,4.809950833604683,FAIL,ROI (-4.13%) < Target (+10.00%); Win Rate (38.9%) < Target (40.0%); Net R (-8.44R) < Target (+2.50R)
12,W12,Post-Inauguration Trade Policy Realignment,19,52.63157894736842,-4.151575358035743,-81.43036790178658,-1.6286073580357316,4.601329750066107,FAIL,ROI (-1.63%) < Target (+10.00%); Net R (-4.15R) < Target (+2.50R)
13,W13,Spring 2025 Precious Metals All-Time High,13,46.15384615384615,-5.293703703703738,-134.51398518518894,-2.6902797037037787,4.568673587741397,FAIL,ROI (-2.69%) < Target (+10.00%); Trades (13) < Target (15); Net R (-5.29R) < Target (+2.50R)
14,W14,Late-Cycle Yield Curve Steepening,73,56.16438356164384,4.828330159017298,105.756049802257,2.11512099604514,4.286989985032188,FAIL,ROI (+2.12%) < Target (+10.00%)
15,W15,European Macro Slowdown & CNH Divergence,153,59.47712418300654,12.161829844012566,639.2814360292015,12.78562872058403,2.881223018761225,PASS,
16,W16,Late-Summer Commodity Volatility Expansion,28,46.42857142857143,-1.977733398727935,-43.77416122770241,-0.875483224554048,4.349704720616086,FAIL,ROI (-0.88%) < Target (+10.00%); Net R (-1.98R) < Target (+2.50R)
17,W17,Autumn 2025 Global Liquidity Injection,40,60.0,-0.31287567567532015,-90.60911891890578,-1.8121823783781157,4.534180205028359,FAIL,ROI (-1.81%) < Target (+10.00%); Net R (-0.31R) < Target (+2.50R)
18,W18,Q4 2025 Industrial Metals & Indices Momentum,20,45.0,-4.24999999999994,-82.54740000000047,-1.6509480000000094,4.63525420888869,FAIL,ROI (-1.65%) < Target (+10.00%); Net R (-4.25R) < Target (+2.50R)
19,W19,Q1 2026 New Year Cross-Asset Range Shift,19,47.368421052631575,-4.694336283185965,-145.14024778761265,-2.902804955752253,4.543886459736465,FAIL,ROI (-2.90%) < Target (+10.00%); Net R (-4.69R) < Target (+2.50R)
20,W20,March 2026 Modern Microstructure Shock,65,52.307692307692314,-3.281484615016555,-230.1692514620366,-4.603385029240732,4.603385029240708,FAIL,ROI (-4.60%) < Target (+10.00%); Net R (-3.28R) < Target (+2.50R)
