window_id,window,name,trades,win_rate,net_r,pnl_usd,roi_pct,max_dd_pct,status,failures
1,W01,Late 2023 Fed Higher-for-Longer Pause,46,45.65217391304348,-2.422108479702462,-226.7804889919514,-4.535609779839027,4.535609779838978,FAIL,ROI (-4.54%) < Target (+10.00%); Net R (-2.42R) < Target (+2.50R)
2,W02,Q4 2023 Year-End Soft Landing Rally,17,29.411764705882355,-6.514841601912731,-192.23077262402597,-3.8446154524805194,4.531226868839858,FAIL,ROI (-3.84%) < Target (+10.00%); Win Rate (29.4%) < Target (40.0%); Net R (-6.51R) < Target (+2.50R)
3,W03,Q1 2024 Global Disinflation Surge,23,43.47826086956522,-4.06734930786452,-75.05475050588834,-1.5010950101177667,4.4983197432942745,FAIL,ROI (-1.50%) < Target (+10.00%); Net R (-4.07R) < Target (+2.50R)
4,W04,Early 2024 Tech & Index Expansion,15,40.0,-1.7967741935481572,63.17007741936982,1.2634015483873964,4.305049351848566,FAIL,ROI (+1.26%) < Target (+10.00%); Net R (-1.80R) < Target (+2.50R)
5,W05,Spring 2024 Geopolitical Energy Spike,27,40.74074074074074,-4.903739408131463,-218.32231674793445,-4.366446334958689,4.564702833294809,FAIL,ROI (-4.37%) < Target (+10.00%); Net R (-4.90R) < Target (+2.50R)
6,W06,ECB Rate Cut Pivot & Dollar Strength,17,29.411764705882355,-4.747752566487327,-133.49183076264865,-2.669836615252973,4.423068088023058,FAIL,ROI (-2.67%) < Target (+10.00%); Win Rate (29.4%) < Target (40.0%); Net R (-4.75R) < Target (+2.50R)
7,W07,Mid-2024 High-Beta Equity Distribution,31,45.16129032258064,-3.1858072835239946,-60.72701461400355,-1.214540292280071,4.493618202367285,FAIL,ROI (-1.21%) < Target (+10.00%); Net R (-3.19R) < Target (+2.50R)
8,W08,August 2024 Global Carry Trade Flash Unwind,57,45.614035087719294,-4.677082781947643,-232.10799389688938,-4.642159877937788,4.642159877937774,FAIL,ROI (-4.64%) < Target (+10.00%); Net R (-4.68R) < Target (+2.50R)
9,W09,Fed 50bps Jumbo Rate Cut Ignition,32,34.375,-7.663191811063841,-232.20939197614695,-4.644187839522939,4.644187839522928,FAIL,ROI (-4.64%) < Target (+10.00%); Win Rate (34.4%) < Target (40.0%); Net R (-7.66R) < Target (+2.50R)
10,W10,US Presidential Election Mega Breakout,88,53.40909090909091,7.0507591838496975,29.66218194004537,0.5932436388009075,4.416753471357149,FAIL,ROI (+0.59%) < Target (+10.00%)
11,W11,Year-End Cross-Currency Flow Rebalancing,10,20.0,-7.955462184873912,-225.27012605041847,-4.505402521008369,4.505402521008364,FAIL,ROI (-4.51%) < Target (+10.00%); Win Rate (20.0%) < Target (40.0%); Trades (10) < Target (15); Net R (-7.96R) < Target (+2.50R)
12,W12,Post-Inauguration Trade Policy Realignment,30,46.666666666666664,3.387054218522552,247.10141664830599,4.942028332966119,4.338126636601683,FAIL,ROI (+4.94%) < Target (+10.00%)
13,W13,Spring 2025 Precious Metals All-Time High,12,33.33333333333333,-5.165314091428677,-109.71483842563538,-2.1942967685127073,4.588328270871337,FAIL,ROI (-2.19%) < Target (+10.00%); Win Rate (33.3%) < Target (40.0%); Trades (12) < Target (15); Net R (-5.17R) < Target (+2.50R)
14,W14,Late-Cycle Yield Curve Steepening,21,42.857142857142854,-6.9518579355003265,-186.25878665335082,-3.725175733067017,4.543808035355712,FAIL,ROI (-3.73%) < Target (+10.00%); Net R (-6.95R) < Target (+2.50R)
15,W15,European Macro Slowdown & CNH Divergence,25,36.0,-5.930444221968833,-196.36335682280003,-3.9272671364560003,4.5160175505034115,FAIL,ROI (-3.93%) < Target (+10.00%); Win Rate (36.0%) < Target (40.0%); Net R (-5.93R) < Target (+2.50R)
16,W16,Late-Summer Commodity Volatility Expansion,26,34.61538461538461,-3.862570563589988,-237.58641429923586,-4.751728285984718,4.751728285984664,FAIL,ROI (-4.75%) < Target (+10.00%); Win Rate (34.6%) < Target (40.0%); Net R (-3.86R) < Target (+2.50R)
17,W17,Autumn 2025 Global Liquidity Injection,42,47.61904761904761,-1.0962734854281782,-156.08327637782983,-3.1216655275565963,4.466396530000193,FAIL,ROI (-3.12%) < Target (+10.00%); Net R (-1.10R) < Target (+2.50R)
18,W18,Q4 2025 Industrial Metals & Indices Momentum,29,37.93103448275862,-8.39962552692922,-235.74863322219247,-4.714972664443849,4.714972664443812,FAIL,ROI (-4.71%) < Target (+10.00%); Win Rate (37.9%) < Target (40.0%); Net R (-8.40R) < Target (+2.50R)
19,W19,Q1 2026 New Year Cross-Asset Range Shift,29,41.37931034482759,-0.6442325046982829,-52.48845425656134,-1.0497690851312267,4.3610954989804895,FAIL,ROI (-1.05%) < Target (+10.00%); Net R (-0.64R) < Target (+2.50R)
20,W20,March 2026 Modern Microstructure Shock,69,44.927536231884055,-3.667612471042096,-241.72918838089373,-4.8345837676178745,4.834583767617824,FAIL,ROI (-4.83%) < Target (+10.00%); Net R (-3.67R) < Target (+2.50R)
