w,tr,wr,netR,roi,dd,st
1,8,25.0,-2.1759000000000004,-2.7614780000000008,3.380579999999991,FAIL
2,6,33.33333333333333,-1.8800000000000006,-1.6857200000000003,2.7363600981739267,FAIL
3,7,28.57142857142857,-5.26,-3.568744,3.7020204037611837,FAIL
4,7,57.14285714285714,-0.16000000000000014,-0.3069600000000002,2.471316543271732,FAIL
5,6,50.0,-1.7300000000000002,-1.60322,2.343624651506355,FAIL
6,6,66.66666666666666,4.07,4.27748,1.3294913860873192,FAIL
7,7,71.42857142857143,3.6900000000000013,4.406679999999998,2.1989221586951455,FAIL
8,14,42.857142857142854,-5.42,-2.2823840000000004,4.403853679152256,FAIL
9,8,37.5,-5.1899999999999995,-3.545908,3.7020204037611837,FAIL
10,13,61.53846153846154,1.4099999999999997,-0.9434679999999992,3.3092599999999766,FAIL
11,12,66.66666666666666,2.7915999999999994,2.1231400000000002,2.709511997355906,FAIL
12,10,40.0,-2.9000000000000004,-3.1677880000000007,3.7351239999999777,FAIL
13,11,36.36363636363637,-3.3936,-2.740761,3.9012495109062995,FAIL
14,9,66.66666666666666,1.63,1.3193200000000003,1.379291929968135,FAIL
15,12,50.0,-3.1481000000000003,-2.0534000000000003,3.497083628911453,FAIL
16,10,60.0,-3.9000000000000004,-3.05984,3.1938197534611787,FAIL
17,8,50.0,-4.04,-3.07368,3.1407066310113265,FAIL
18,12,75.0,5.6582,6.610579999999999,2.7706919920755366,FAIL
19,14,35.714285714285715,-7.07,-3.87744,4.760123178382739,FAIL
20,5,0.0,-5.4,-3.7071440000000004,3.7071439999999893,FAIL
