window_id,window,name,trades,win_rate,net_r,pnl_usd,roi_pct,max_dd_pct,status,failures
1,W01,Late 2023 Fed Higher-for-Longer Pause,5,60.0,-0.20910000000000012,-10.655000000000001,-0.2131,1.0722381781474914,FAIL,ROI (-0.21%) < Target (+10.00%); Trades (5) < Target (15); Net R (-0.21R) < Target (+2.50R)
2,W02,Q4 2023 Year-End Soft Landing Rally,7,57.14285714285714,0.8940999999999999,-10.00699999999999,-0.20013999999999982,1.8453836998582465,FAIL,ROI (-0.20%) < Target (+10.00%); Trades (7) < Target (15); Net R (+0.89R) < Target (+2.50R)
3,W03,Q1 2024 Global Disinflation Surge,4,75.0,-0.21999999999999997,-11.159999999999997,-0.22319999999999993,1.0716098737229511,FAIL,ROI (-0.22%) < Target (+10.00%); Trades (4) < Target (15); Net R (-0.22R) < Target (+2.50R)
4,W04,Early 2024 Tech & Index Expansion,5,60.0,-1.2376,-62.07999999999999,-1.2415999999999998,1.5471852083148374,FAIL,ROI (-1.24%) < Target (+10.00%); Trades (5) < Target (15); Net R (-1.24R) < Target (+2.50R)
5,W05,Spring 2024 Geopolitical Energy Spike,3,66.66666666666666,0.71,19.167999999999985,0.3833599999999997,1.3812928139427052,FAIL,ROI (+0.38%) < Target (+10.00%); Trades (3) < Target (15); Net R (+0.71R) < Target (+2.50R)
6,W06,ECB Rate Cut Pivot & Dollar Strength,4,75.0,2.8702999999999994,154.143,3.08286,1.0800526035983093,FAIL,ROI (+3.08%) < Target (+10.00%); Trades (4) < Target (15)
7,W07,Mid-2024 High-Beta Equity Distribution,6,33.33333333333333,-0.9943000000000002,-49.955,-0.9991,2.1367601631039155,FAIL,ROI (-1.00%) < Target (+10.00%); Win Rate (33.3%) < Target (40.0%); Trades (6) < Target (15); Net R (-0.99R) < Target (+2.50R)
8,W08,August 2024 Global Carry Trade Flash Unwind,9,33.33333333333333,-5.62,-186.18540000000002,-3.7237080000000007,3.7902851226950833,FAIL,ROI (-3.72%) < Target (+10.00%); Win Rate (33.3%) < Target (40.0%); Trades (9) < Target (15); Net R (-5.62R) < Target (+2.50R)
9,W09,Fed 50bps Jumbo Rate Cut Ignition,13,61.53846153846154,0.5996999999999999,-36.10224999999996,-0.7220449999999993,2.881590939070148,FAIL,ROI (-0.72%) < Target (+10.00%); Trades (13) < Target (15); Net R (+0.60R) < Target (+2.50R)
10,W10,US Presidential Election Mega Breakout,10,80.0,3.9372,221.666,4.433319999999999,0.3622095975625281,FAIL,ROI (+4.43%) < Target (+10.00%); Trades (10) < Target (15)
11,W11,Year-End Cross-Currency Flow Rebalancing,7,57.14285714285714,0.3399999999999996,49.05699999999997,0.9811399999999992,2.896545939094695,FAIL,ROI (+0.98%) < Target (+10.00%); Trades (7) < Target (15); Net R (+0.34R) < Target (+2.50R)
12,W12,Post-Inauguration Trade Policy Realignment,8,37.5,-1.6876000000000002,-74.503,-1.49006,3.6362729293182303,FAIL,ROI (-1.49%) < Target (+10.00%); Win Rate (37.5%) < Target (40.0%); Trades (8) < Target (15); Net R (-1.69R) < Target (+2.50R)
13,W13,Spring 2025 Precious Metals All-Time High,5,40.0,-0.2993000000000001,-69.60825,-1.3921649999999999,2.7229999999999928,FAIL,ROI (-1.39%) < Target (+10.00%); Trades (5) < Target (15); Net R (-0.30R) < Target (+2.50R)
14,W14,Late-Cycle Yield Curve Steepening,8,25.0,-2.6966,-126.72599999999998,-2.5345199999999997,2.9230400000000007,FAIL,ROI (-2.53%) < Target (+10.00%); Win Rate (25.0%) < Target (40.0%); Trades (8) < Target (15); Net R (-2.70R) < Target (+2.50R)
15,W15,European Macro Slowdown & CNH Divergence,6,83.33333333333334,3.1481000000000003,160.2385,3.20477,1.3431245119363169,FAIL,ROI (+3.20%) < Target (+10.00%); Trades (6) < Target (15)
16,W16,Late-Summer Commodity Volatility Expansion,6,50.0,-0.44389999999999996,-54.30624999999999,-1.0861249999999998,2.0316849999999977,FAIL,ROI (-1.09%) < Target (+10.00%); Trades (6) < Target (15); Net R (-0.44R) < Target (+2.50R)
17,W17,Autumn 2025 Global Liquidity Injection,7,28.57142857142857,-4.2707,-166.99545000000003,-3.3399090000000005,3.3627449999999772,FAIL,ROI (-3.34%) < Target (+10.00%); Win Rate (28.6%) < Target (40.0%); Trades (7) < Target (15); Net R (-4.27R) < Target (+2.50R)
18,W18,Q4 2025 Industrial Metals & Indices Momentum,12,58.333333333333336,-1.2256000000000002,-119.30459999999995,-2.386091999999999,3.2897199999999973,FAIL,ROI (-2.39%) < Target (+10.00%); Trades (12) < Target (15); Net R (-1.23R) < Target (+2.50R)
19,W19,Q1 2026 New Year Cross-Asset Range Shift,10,40.0,-4.763400000000001,-178.04520000000002,-3.5609040000000003,3.560903999999991,FAIL,ROI (-3.56%) < Target (+10.00%); Trades (10) < Target (15); Net R (-4.76R) < Target (+2.50R)
20,W20,March 2026 Modern Microstructure Shock,7,71.42857142857143,0.4900000000000001,-14.461999999999996,-0.28923999999999994,2.1601052071966187,FAIL,ROI (-0.29%) < Target (+10.00%); Trades (7) < Target (15); Net R (+0.49R) < Target (+2.50R)
