window_id,window,name,trades,win_rate,net_r,pnl_usd,roi_pct,max_dd_pct,status,failures
1,W01,Late 2023 Fed Higher-for-Longer Pause,15,73.33333333333333,-1.9000000000000004,-117.74899999999998,-2.3549799999999994,2.5397624843608044,FAIL,ROI (-2.35%) < Target (+10.00%); Net R (-1.90R) < Target (+2.50R)
2,W02,Q4 2023 Year-End Soft Landing Rally,9,33.33333333333333,-0.8123000000000005,-134.08899999999997,-2.6817799999999994,2.6817799999999803,FAIL,ROI (-2.68%) < Target (+10.00%); Win Rate (33.3%) < Target (40.0%); Trades (9) < Target (15); Net R (-0.81R) < Target (+2.50R)
3,W03,Q1 2024 Global Disinflation Surge,6,66.66666666666666,0.33509999999999973,16.515000000000008,0.33030000000000015,1.0657610458815645,FAIL,ROI (+0.33%) < Target (+10.00%); Trades (6) < Target (15); Net R (+0.34R) < Target (+2.50R)
4,W04,Early 2024 Tech & Index Expansion,10,40.0,-1.1871000000000003,-74.51485000000001,-1.4902970000000002,3.3788547294906004,FAIL,ROI (-1.49%) < Target (+10.00%); Trades (10) < Target (15); Net R (-1.19R) < Target (+2.50R)
5,W05,Spring 2024 Geopolitical Energy Spike,6,83.33333333333334,3.3581,190.1005,3.80201,1.0807999999999993,FAIL,ROI (+3.80%) < Target (+10.00%); Trades (6) < Target (15)
6,W06,ECB Rate Cut Pivot & Dollar Strength,12,66.66666666666666,5.6303,138.84025,2.776805,2.090119772084198,FAIL,ROI (+2.78%) < Target (+10.00%); Trades (12) < Target (15)
7,W07,Mid-2024 High-Beta Equity Distribution,9,55.55555555555556,0.3932999999999998,19.304999999999993,0.38609999999999983,1.0905830344482434,FAIL,ROI (+0.39%) < Target (+10.00%); Trades (9) < Target (15); Net R (+0.39R) < Target (+2.50R)
8,W08,August 2024 Global Carry Trade Flash Unwind,10,40.0,-0.9028000000000003,-37.43400000000001,-0.7486800000000002,3.010096587955238,FAIL,ROI (-0.75%) < Target (+10.00%); Trades (10) < Target (15); Net R (-0.90R) < Target (+2.50R)
9,W09,Fed 50bps Jumbo Rate Cut Ignition,16,75.0,8.4963,399.45199999999994,7.989039999999998,1.9217358121863481,FAIL,ROI (+7.99%) < Target (+10.00%)
10,W10,US Presidential Election Mega Breakout,14,71.42857142857143,4.680399999999999,145.43100000000004,2.908620000000001,2.662440716132478,FAIL,ROI (+2.91%) < Target (+10.00%); Trades (14) < Target (15)
11,W11,Year-End Cross-Currency Flow Rebalancing,20,45.0,-3.864000000000001,-124.46700000000001,-2.4893400000000003,4.225015817126475,FAIL,ROI (-2.49%) < Target (+10.00%); Net R (-3.86R) < Target (+2.50R)
12,W12,Post-Inauguration Trade Policy Realignment,13,61.53846153846154,3.918399999999999,151.75599999999997,3.0351199999999996,2.306800000000003,FAIL,ROI (+3.04%) < Target (+10.00%); Trades (13) < Target (15)
13,W13,Spring 2025 Precious Metals All-Time High,9,55.55555555555556,-2.8718,-127.8085,-2.55617,2.7179799999999887,FAIL,ROI (-2.56%) < Target (+10.00%); Trades (9) < Target (15); Net R (-2.87R) < Target (+2.50R)
14,W14,Late-Cycle Yield Curve Steepening,14,35.714285714285715,-7.0200000000000005,-229.08860000000004,-4.581772000000001,4.581771999999964,FAIL,ROI (-4.58%) < Target (+10.00%); Win Rate (35.7%) < Target (40.0%); Trades (14) < Target (15); Net R (-7.02R) < Target (+2.50R)
15,W15,European Macro Slowdown & CNH Divergence,10,40.0,-1.2219000000000004,-130.291,-2.60582,2.605819999999985,FAIL,ROI (-2.61%) < Target (+10.00%); Trades (10) < Target (15); Net R (-1.22R) < Target (+2.50R)
16,W16,Late-Summer Commodity Volatility Expansion,18,50.0,-2.7251999999999996,-124.20620000000004,-2.484124000000001,3.541973516667295,FAIL,ROI (-2.48%) < Target (+10.00%); Net R (-2.73R) < Target (+2.50R)
17,W17,Autumn 2025 Global Liquidity Injection,18,66.66666666666666,1.8232999999999988,27.38799999999994,0.5477599999999988,2.4693607676141127,FAIL,ROI (+0.55%) < Target (+10.00%); Net R (+1.82R) < Target (+2.50R)
18,W18,Q4 2025 Industrial Metals & Indices Momentum,24,54.166666666666664,1.6952999999999987,91.91399999999997,1.8382799999999995,2.5743261993248314,FAIL,ROI (+1.84%) < Target (+10.00%); Net R (+1.70R) < Target (+2.50R)
19,W19,Q1 2026 New Year Cross-Asset Range Shift,14,57.14285714285714,-0.49320000000000075,-42.495050000000006,-0.8499010000000001,3.3280413137342637,FAIL,ROI (-0.85%) < Target (+10.00%); Trades (14) < Target (15); Net R (-0.49R) < Target (+2.50R)
20,W20,March 2026 Modern Microstructure Shock,8,50.0,-0.39620000000000033,-82.60799999999999,-1.6521599999999999,2.360479999999989,FAIL,ROI (-1.65%) < Target (+10.00%); Trades (8) < Target (15); Net R (-0.40R) < Target (+2.50R)
