window_id,window,name,trades,win_rate,net_r,pnl_usd,roi_pct,max_dd_pct,status,failures
1,W01,Late 2023 Fed Higher-for-Longer Pause,0,0.0,0.0,0.0,0.0,0.0,FAIL,No candidate trades found for parallel execution
2,W02,Q4 2023 Year-End Soft Landing Rally,1,100.0,2.3728,23.72,0.4744,0.0,FAIL,ROI (+0.47%) < Target (+10.00%); Trades (1) < Target (15); Net R (+2.37R) < Target (+2.50R)
3,W03,Q1 2024 Global Disinflation Surge,2,100.0,3.3209,33.193,0.66386,0.0,FAIL,ROI (+0.66%) < Target (+10.00%); Trades (2) < Target (15)
4,W04,Early 2024 Tech & Index Expansion,1,100.0,3.6424,36.416,0.72832,0.0,FAIL,ROI (+0.73%) < Target (+10.00%); Trades (1) < Target (15)
5,W05,Spring 2024 Geopolitical Energy Spike,4,50.0,-2.2417,-22.448999999999998,-0.44897999999999993,0.6222153541945673,FAIL,ROI (-0.45%) < Target (+10.00%); Trades (4) < Target (15); Net R (-2.24R) < Target (+2.50R)
6,W06,ECB Rate Cut Pivot & Dollar Strength,2,0.0,-1.113,-11.145999999999999,-0.22291999999999998,0.2229200000000128,FAIL,ROI (-0.22%) < Target (+10.00%); Win Rate (0.0%) < Target (40.0%); Trades (2) < Target (15); Net R (-1.11R) < Target (+2.50R)
7,W07,Mid-2024 High-Beta Equity Distribution,4,50.0,-2.1510999999999996,-21.543,-0.43086,0.895405613524336,FAIL,ROI (-0.43%) < Target (+10.00%); Trades (4) < Target (15); Net R (-2.15R) < Target (+2.50R)
8,W08,August 2024 Global Carry Trade Flash Unwind,2,100.0,2.3125,23.109,0.46218000000000004,0.0,FAIL,ROI (+0.46%) < Target (+10.00%); Trades (2) < Target (15); Net R (+2.31R) < Target (+2.50R)
9,W09,Fed 50bps Jumbo Rate Cut Ignition,4,0.0,-6.8069999999999995,-68.10199999999999,-1.3620399999999997,1.3620400000000155,FAIL,ROI (-1.36%) < Target (+10.00%); Win Rate (0.0%) < Target (40.0%); Trades (4) < Target (15); Net R (-6.81R) < Target (+2.50R)
10,W10,US Presidential Election Mega Breakout,2,100.0,2.1491000000000002,21.475,0.4295,0.0,FAIL,ROI (+0.43%) < Target (+10.00%); Trades (2) < Target (15); Net R (+2.15R) < Target (+2.50R)
11,W11,Year-End Cross-Currency Flow Rebalancing,4,50.0,5.7941,57.909,1.15818,0.2452102836455607,FAIL,ROI (+1.16%) < Target (+10.00%); Trades (4) < Target (15)
12,W12,Post-Inauguration Trade Policy Realignment,2,50.0,0.7008999999999999,6.992999999999999,0.13985999999999998,0.08959999999999127,FAIL,ROI (+0.14%) < Target (+10.00%); Trades (2) < Target (15); Net R (+0.70R) < Target (+2.50R)
13,W13,Spring 2025 Precious Metals All-Time High,4,50.0,-6.239199999999999,-62.42400000000001,-1.24848,1.4232800000000134,FAIL,ROI (-1.25%) < Target (+10.00%); Trades (4) < Target (15); Net R (-6.24R) < Target (+2.50R)
14,W14,Late-Cycle Yield Curve Steepening,2,0.0,-2.7798999999999996,-27.814999999999998,-0.5562999999999999,0.5562999999999919,FAIL,ROI (-0.56%) < Target (+10.00%); Win Rate (0.0%) < Target (40.0%); Trades (2) < Target (15); Net R (-2.78R) < Target (+2.50R)
15,W15,European Macro Slowdown & CNH Divergence,4,75.0,5.2671,52.63900000000001,1.0527800000000003,0.008439999999991414,FAIL,ROI (+1.05%) < Target (+10.00%); Trades (4) < Target (15)
16,W16,Late-Summer Commodity Volatility Expansion,2,100.0,1.4425000000000001,14.409000000000002,0.28818000000000005,0.0,FAIL,ROI (+0.29%) < Target (+10.00%); Trades (2) < Target (15); Net R (+1.44R) < Target (+2.50R)
17,W17,Autumn 2025 Global Liquidity Injection,4,75.0,1.8698,18.666,0.37332,0.02708928075561847,FAIL,ROI (+0.37%) < Target (+10.00%); Trades (4) < Target (15); Net R (+1.87R) < Target (+2.50R)
18,W18,Q4 2025 Industrial Metals & Indices Momentum,4,25.0,-3.3533999999999997,-33.566,-0.67132,0.8868712324436917,FAIL,ROI (-0.67%) < Target (+10.00%); Win Rate (25.0%) < Target (40.0%); Trades (4) < Target (15); Net R (-3.35R) < Target (+2.50R)
19,W19,Q1 2026 New Year Cross-Asset Range Shift,2,50.0,1.0536,10.520000000000003,0.2104000000000001,0.07156000000000858,FAIL,ROI (+0.21%) < Target (+10.00%); Trades (2) < Target (15); Net R (+1.05R) < Target (+2.50R)
20,W20,March 2026 Modern Microstructure Shock,4,25.0,-6.0889999999999995,-60.922000000000004,-1.2184400000000002,1.2184400000000097,FAIL,ROI (-1.22%) < Target (+10.00%); Win Rate (25.0%) < Target (40.0%); Trades (4) < Target (15); Net R (-6.09R) < Target (+2.50R)
