window_id,name,regime,trades,s1_trades,t1_trades,orb_trades,win_rate_pct,net_pnl_usd,net_roi_pct,max_dd_pct,status
1,Q1 2021 Crypto Bull Run & Stimulus Ignition,BULL_EXPANSION,34,14,5,15,35.294117647058826,-243.37849565671968,-4.8675699131343935,4.8675699131343935,FAIL
2,Q2 2021 May Liquidation Crash & China Ban,BULL_EXPANSION,122,80,28,14,56.557377049180324,598.241945608399,11.96483891216798,4.589502231010909,PASS
3,Q3 2021 El Salvador Tender & Summer Rebound,SIDEWAYS_CHOP,128,96,30,2,46.875,-257.6776319978626,-5.153552639957252,5.153552639957252,FAIL
4,Q4 2021 ATH Blowoff & Distribution Peak,BEAR_CONTAGION,22,17,0,5,54.54545454545454,223.12549484331885,4.462509896866377,2.7940904010404393,PROFIT
5,Q1 2022 Fed Rate Hike Cycle & Macro Shock,SIDEWAYS_CHOP,90,71,19,0,52.22222222222223,38.92648473312329,0.7785296946624658,5.036822762548147,FAIL
6,Q2 2022 Terra-Luna Collapse & 3AC Insolvency,BULL_EXPANSION,41,30,10,1,46.34146341463415,-251.5122290978179,-5.030244581956358,5.030244581956358,FAIL
7,Q3 2022 ETH Merge & Dollar Index Surge,BEAR_CONTAGION,32,32,0,0,31.25,-258.6029253023071,-5.172058506046142,5.172058506046142,FAIL
8,Q4 2022 FTX Bankruptcy & Cycle Capitulation,SIDEWAYS_CHOP,32,13,18,1,46.875,-126.40323912734311,-2.5280647825468625,5.0846143058758555,FAIL
9,Q1 2023 SVB Bank Run & Short Squeeze Recovery,SIDEWAYS_CHOP,42,22,19,1,40.476190476190474,-99.894494929541,-1.99788989859082,4.886665692437165,FAIL
10,Q2 2023 BlackRock Spot ETF Filing & Compression,SIDEWAYS_CHOP,71,37,33,1,66.19718309859155,376.62239598215183,7.532447919643037,4.02424615778015,PROFIT
11,Q3 2023 Mid-Summer Flash Flush & Yield Spike,SIDEWAYS_CHOP,24,17,7,0,33.33333333333333,-237.62384805271722,-4.752476961054344,4.897891679870854,FAIL
12,Q4 2023 Uptober Spot ETF Pre-Run & Rally,SIDEWAYS_CHOP,79,45,34,0,51.89873417721519,502.9793548835478,10.059587097670954,2.7681031547345767,PASS
13,Q1 2024 Spot ETF Inflows & Pre-Halving ATH,SIDEWAYS_CHOP,87,50,37,0,54.02298850574713,-13.86129982278635,-0.277225996455727,4.337563434783043,FAIL
14,Q2 2024 Bitcoin Halving & Post-ATH Re-Accumulation,BULL_EXPANSION,65,37,26,2,49.23076923076923,-203.84349632583962,-4.0768699265167925,4.686058161062699,FAIL
15,Q3 2024 Global Carry Trade Unwind & 50bps Cut,SIDEWAYS_CHOP,67,46,20,1,43.28358208955223,-130.99759030636233,-2.619951806127246,4.851706232051169,FAIL
16,Q4 2024 US Presidential Election & Mega Breakout,SIDEWAYS_CHOP,132,97,33,2,53.03030303030303,500.18922597956043,10.003784519591209,2.6667758372931263,PASS
17,Q1 2025 Strategic Reserve & Institutional Wave,SIDEWAYS_CHOP,122,92,27,3,45.90163934426229,500.0042408230929,10.00008481646186,2.649121210169384,PASS
18,Q2 2025 Regulatory Clarity & Altcoin Momentum,SIDEWAYS_CHOP,48,34,14,0,56.25,127.16409665077117,2.5432819330154235,5.030728138359592,FAIL
19,Q3 2025 Summer Microstructure Volatility,SIDEWAYS_CHOP,36,20,16,0,47.22222222222222,51.25500268323867,1.0251000536647734,5.1125161005664665,FAIL
20,Q4 2025 Year-End Macro Flow Rebalancing,SIDEWAYS_CHOP,62,42,18,2,45.16129032258064,27.2554005118227,0.545108010236454,5.09218629764429,FAIL
21,Q1 2026 New Year Cross-Asset Flow,SIDEWAYS_CHOP,40,23,17,0,45.0,98.88986097746329,1.977797219549266,4.926207039735689,PROFIT
22,Q2 2026 Modern Microstructure Flow,SIDEWAYS_CHOP,81,43,38,0,51.85185185185185,-172.90392655091182,-3.458078531018236,4.783910979225056,FAIL
23,Q3 2026 Live Production Regime,BEAR_CONTAGION,11,10,0,1,72.72727272727273,126.74385387026905,2.534877077405381,1.2875733009569459,PROFIT
