trade_id,entry_time,exit_time,symbol,strategy,realized_r,risk_usd,pnl_usd,running_equity,running_dd_pct,win,hold_bars
1,2023-08-01 04:00:00,2023-08-01 16:00:00,BTCUSDT,T1,0.0868,42.0,3.64,5003.64,0.0,1,48
2,2023-08-08 04:45:00,2023-08-08 12:30:00,BCHUSDT,S1,2.82,54.0,152.28,5155.92,0.0,1,31
3,2023-08-08 23:45:00,2023-08-09 03:30:00,BCHUSDT,S1,-1.38,90.0,-124.2,5031.72,2.41,0,15
4,2023-08-17 00:00:00,2023-08-17 12:00:00,BTCUSDT,T1,1.9363,42.0,81.32,5113.05,0.83,1,48
5,2023-08-17 00:00:00,2023-08-17 16:00:00,LTCUSDT,T1,0.2596,42.0,10.9,5123.95,0.62,1,64
6,2023-08-18 00:00:00,2023-08-18 20:00:00,ETHUSDT,T1,0.269,42.0,11.3,5135.25,0.4,1,80
7,2023-08-18 00:00:00,2023-08-19 08:00:00,BNBUSDT,T1,0.2678,42.0,11.25,5146.5,0.18,1,128
8,2023-08-19 00:30:00,2023-08-19 08:00:00,BCHUSDT,S1,0.17,68.0,11.56,5158.06,0.0,1,30
9,2023-08-19 07:45:00,2023-08-19 09:30:00,BCHUSDT,S1,-1.38,14.0,-19.32,5138.74,0.37,0,7
10,2023-08-19 08:15:00,2023-08-19 15:00:00,XRPUSDT,S1,-1.38,14.0,-19.32,5119.42,0.75,0,27
11,2023-08-19 13:15:00,2023-08-19 15:00:00,XRPUSDT,S1,-1.38,14.0,-19.32,5100.1,1.12,0,7
12,2023-08-20 16:45:00,2023-08-21 00:00:00,XRPUSDT,S1,0.17,14.0,2.38,5102.48,1.08,1,29
13,2023-08-21 00:00:00,2023-08-21 04:15:00,XRPUSDT,S1,-1.38,14.0,-19.32,5083.16,1.45,0,17
14,2023-08-26 00:45:00,2023-08-26 08:45:00,BCHUSDT,S1,-0.8476,14.0,-11.87,5071.29,1.68,0,32
15,2023-08-31 01:45:00,2023-08-31 07:45:00,BCHUSDT,S1,2.82,14.0,39.48,5110.77,0.92,1,24
