fam,tag,geo,n,net_r,gross_r,wr,pf,avg_bars
T2,tsmom7d_hi15,SURV_W,3042,0.06630849694949392,0.3163084969494939,48.29059829059829,1.1308766073865189,611.2859960552269
T6,xs_decile,SURV_W,11072,0.05726541953953172,0.30726541953953174,48.934248554913296,1.124129594486309,814.1986994219653
T1,donchW_tide,SURV_W,12147,0.044982013490386406,0.2949820134903864,49.748909195686174,1.1015296424122918,840.5491891001893
T1,donchW_free,SURV_W,12233,0.04226807334130046,0.29226807334130045,49.61170604103654,1.0951544012517824,840.534455979727
T2,tsmom7d,SURV_W,35950,0.031692394468942627,0.2816923944689426,48.9346314325452,1.0667087533826944,759.3258414464534
T3,pullback_W,SURV_W,16800,0.031301128364497645,0.28130112836449767,48.988095238095234,1.0674720596432483,803.3882142857143
T3,pullback_M,SURV_M,26149,-0.03417676686533654,0.21582323313466345,48.215992963402044,0.9335904175228966,263.91246319170904
T5,fund_carry,MID,20367,-0.13919882500357758,0.11080117499642242,49.236510040752194,0.7342262163577169,51.36819364658516
T9,oi_break,FAST,46941,-0.424028812812683,-0.174028812812683,19.83979889648708,0.5418841122272857,9.061992714258324
T8,btc_lead,FAST,45231,-0.4337519611737204,-0.1837519611737204,22.776414406048946,0.5023821343486529,9.292564833852888
T7,orb_fast,FAST,27132,-0.48868897666337135,-0.23868897666337135,20.193867020492405,0.4727857063672959,9.72530591183842
T4,nr7_fast,FAST,6991,-0.7849181832405219,-0.5349181832405219,10.341868116149335,0.34056386994452514,8.261908167644114
