fam,tag,geo,n,net_r,gross_r,wr,pf,avg_bars
T2,tsmom7d_hi15,SURV_W,3045,0.04088110063789776,0.29088110063789774,46.73234811165845,1.0783777363895841,611.7106732348111
T6,xs_decile,SURV_W,11109,0.03909661262831501,0.289096612628315,48.357187865694485,1.0830710850934222,814.69889278963
T1,donchW_tide,SURV_W,12190,0.02949098570729024,0.27949098570729025,49.319114027891715,1.0653241582862634,840.8418375717802
T1,donchW_free,SURV_W,12276,0.02679576681264519,0.27679576681264517,49.177256435320956,1.0591962456383102,840.8302378624959
T3,pullback_W,SURV_W,16862,0.015280142088496831,0.2652801420884968,48.766457122524024,1.03232879084483,803.8935476218717
T2,tsmom7d,SURV_W,36082,0.010288150234638159,0.26028815023463814,48.35374979214013,1.0211694898989687,760.0325647137076
T3,pullback_M,SURV_M,26252,-0.06653960837726432,0.1834603916227357,42.85006856620448,0.8753998927529381,264.8750952308396
T5,fund_carry,MID,20417,-0.2313810132809634,0.018618986719036612,44.66865847088211,0.599805876556297,52.06871724543273
T8,btc_lead,FAST,45400,-0.7828497792268494,-0.5328497792268494,12.090308370044053,0.32283782266227956,9.519669603524228
T9,oi_break,FAST,47098,-0.7888244027951802,-0.5388244027951802,10.56095800246295,0.3518234676410971,9.148307783770012
T7,orb_fast,FAST,27214,-0.8306667830060778,-0.5806667830060778,11.637392518556625,0.31326200562311357,9.94297052987433
T4,nr7_fast,FAST,7017,-1.3296955727636395,-1.0796955727636395,5.999714977910788,0.2051646912157781,8.673364685763147
