spec,hz,tg,st,n,mean_r,wr,pf
ORIG_suite,24,2.0,0.75,323,-0.4421773007153166,30.959752321981426,0.2842370695700863
ORIG_suite,48,2.0,1.0,323,-0.46050428646337094,44.58204334365325,0.30481429655995457
ORIG_suite,96,2.0,1.0,323,-0.487588391160172,39.318885448916404,0.3515707073605159
E5_t2_sweep,24,2.0,0.75,323,-0.4421773007153166,30.959752321981426,0.2842370695700863
E5_t2_sweep,48,2.0,1.0,323,-0.46050428646337094,44.58204334365325,0.30481429655995457
E5_t2_sweep,96,2.0,1.0,323,-0.487588391160172,39.318885448916404,0.3515707073605159
INV_suite,24,2.0,0.75,323,-0.10518760180597381,48.91640866873065,0.752635000456228
INV_suite,48,2.0,1.0,323,-0.05367468226647745,66.56346749226006,0.8635008805337949
INV_suite,96,2.0,1.0,323,-0.04873404224747458,62.538699690402474,0.8938525177622133
ORIG_suite,24,2.0,0.75,365,-0.37935513009157984,32.054794520547944,0.39312380038280526
ORIG_suite,48,2.0,1.0,365,-0.39819426641570965,46.57534246575342,0.3871737398229973
ORIG_suite,96,2.0,1.0,365,-0.446373244050408,39.726027397260275,0.39861216481549044
E2_trend_mom,24,2.0,0.75,30,-0.35833333333333334,43.333333333333336,0.3676470588235294
E2_trend_mom,48,2.0,1.0,30,-0.445,50.0,0.288
E2_trend_mom,96,2.0,1.0,30,-0.44,46.666666666666664,0.33999999999999997
E5_t2_sweep,24,2.0,0.75,326,-0.3532436313186631,34.04907975460122,0.41574820403069085
E5_t2_sweep,48,2.0,1.0,326,-0.3768125989010246,48.15950920245399,0.3997950830854427
E5_t2_sweep,96,2.0,1.0,326,-0.41066329471901514,42.02453987730061,0.42336253629885645
INV_suite,24,2.0,0.75,365,-0.05484025070208121,52.054794520547944,0.8753910327620766
INV_suite,48,2.0,1.0,365,0.005419344737265507,65.75342465753424,1.0133197010506825
INV_suite,96,2.0,1.0,365,0.045203246268798424,63.561643835616444,1.1008446170503028
ORIG_suite,24,2.0,0.75,340,-0.21135443435162912,43.8235294117647,0.6059892188054835
ORIG_suite,48,2.0,1.0,337,-0.2753333965214548,54.89614243323442,0.5091541434455515
ORIG_suite,96,2.0,1.0,334,-0.23542422599822702,50.0,0.6217592974439796
E1_trend_pullback,24,2.0,0.75,80,0.14937499999999998,56.25,1.3414285714285714
E1_trend_pullback,48,2.0,1.0,80,0.2575,73.75,1.7847619047619045
E1_trend_pullback,96,2.0,1.0,80,0.14500000000000002,61.25000000000001,1.2993548387096774
E2_trend_mom,24,2.0,0.75,428,-0.2175233644859813,41.58878504672897,0.6276000000000002
E2_trend_mom,48,2.0,1.0,428,-0.1744158878504673,56.77570093457944,0.677189189189189
E2_trend_mom,96,2.0,1.0,428,-0.20140186915887848,49.76635514018692,0.6792558139534884
E5_t2_sweep,24,2.0,0.75,285,-0.24249300940194352,41.75438596491228,0.5608743663612851
E5_t2_sweep,48,2.0,1.0,282,-0.30598352704868886,53.90070921985816,0.4658308150118079
E5_t2_sweep,96,2.0,1.0,279,-0.265525775926193,48.38709677419355,0.5864545531151301
INV_suite,24,2.0,0.75,340,-0.19800194307279154,44.41176470588235,0.6282173228952732
INV_suite,48,2.0,1.0,337,-0.23850089822677942,55.48961424332344,0.5673535832996169
INV_suite,96,2.0,1.0,334,-0.19795900753470708,51.796407185628745,0.6685272512295238
ORIG_suite,24,2.0,0.75,203,-0.1798511615275912,43.34975369458128,0.6779393835172848
ORIG_suite,48,2.0,1.0,203,-0.18148476200686475,54.679802955665025,0.6796399418487515
ORIG_suite,96,2.0,1.0,201,-0.15621890547263678,50.74626865671642,0.7462626262626262
E2_trend_mom,24,2.0,0.75,246,-0.09817073170731708,51.21951219512195,0.79875
E2_trend_mom,48,2.0,1.0,246,-0.06280487804878049,63.00813008130082,0.8641758241758241
E2_trend_mom,96,2.0,1.0,246,-0.09532520325203253,58.13008130081301,0.8178640776699029
E5_t2_sweep,24,2.0,0.75,178,-0.1715823631225228,42.69662921348314,0.695688310812215
E5_t2_sweep,48,2.0,1.0,178,-0.1907303370786517,54.49438202247191,0.6646913580246914
E5_t2_sweep,96,2.0,1.0,176,-0.17017045454545457,50.0,0.7277272727272727
INV_suite,24,2.0,0.75,203,-0.24475832144259804,45.320197044334975,0.5325435936179496
INV_suite,48,2.0,1.0,203,-0.22630965320974616,56.65024630541872,0.5823558218038319
INV_suite,96,2.0,1.0,201,-0.28830845771144276,51.741293532338304,0.5220618556701031
ORIG_suite,24,2.0,0.75,106,-0.314622641509434,42.45283018867924,0.4532786885245901
ORIG_suite,48,2.0,1.0,105,-0.19857142857142854,60.952380952380956,0.593170731707317
ORIG_suite,96,2.0,1.0,104,-0.2778846153846154,51.92307692307693,0.5376000000000003
E1_trend_pullback,24,2.0,0.75,38,-0.656578947368421,21.052631578947366,0.16833333333333333
E1_trend_pullback,48,2.0,1.0,38,-0.7131578947368421,31.57894736842105,0.16615384615384615
E1_trend_pullback,96,2.0,1.0,38,-0.7684210526315789,26.31578947368421,0.1657142857142857
E2_trend_mom,24,2.0,0.75,420,-0.2251190476190476,42.38095238095238,0.609297520661157
E2_trend_mom,48,2.0,1.0,420,-0.24964285714285717,52.61904761904762,0.5784924623115577
E2_trend_mom,96,2.0,1.0,420,-0.24702380952380953,48.333333333333336,0.6175115207373272
E5_t2_sweep,24,2.0,0.75,92,-0.33152173913043476,40.21739130434783,0.44545454545454544
E5_t2_sweep,48,2.0,1.0,91,-0.20824175824175822,59.34065934065934,0.5902702702702702
E5_t2_sweep,96,2.0,1.0,90,-0.3088888888888889,48.888888888888886,0.5165217391304348
INV_suite,24,2.0,0.75,106,-0.2928084853433254,43.39622641509434,0.47706924956935853
INV_suite,48,2.0,1.0,105,-0.27,57.14285714285714,0.49600000000000005
INV_suite,96,2.0,1.0,104,-0.29038461538461535,51.92307692307693,0.5167999999999999
ORIG_suite,24,2.0,0.75,328,-0.3471835187641587,37.80487804878049,0.43833357500480263
ORIG_suite,48,2.0,1.0,328,-0.3225609756097561,53.35365853658537,0.446797385620915
ORIG_suite,96,2.0,1.0,328,-0.361890243902439,45.73170731707317,0.46651685393258424
E2_trend_mom,24,2.0,0.75,61,-0.4450819672131147,29.508196721311474,0.3686046511627907
E2_trend_mom,48,2.0,1.0,61,-0.5491803278688525,37.704918032786885,0.29473684210526313
E2_trend_mom,96,2.0,1.0,61,-0.5975409836065574,31.147540983606557,0.3057142857142857
E5_t2_sweep,24,2.0,0.75,277,-0.3145026269350722,38.98916967509025,0.48066303993207266
E5_t2_sweep,48,2.0,1.0,277,-0.298014440433213,54.151624548736464,0.48000000000000004
E5_t2_sweep,96,2.0,1.0,277,-0.33267148014440434,46.57039711191336,0.5018918918918919
