hz,target,stop,be_trig,be_lock,n,mean_r,wr,pf,min_q_r,med_q_r
48,1.5,0.75,0.75,0.35,3544,-0.30026300262029787,45.71106094808127,0.44509836734389613,-0.3249045736073143,-0.3001984806649242
48,2.0,0.75,0.75,0.35,3544,-0.3003498873422973,45.71106094808127,0.44493779986248955,-0.31877712262692215,-0.30492791478231274
24,2.0,0.75,0.75,0.35,3551,-0.3015957841334957,44.747958321599555,0.43584783739128424,-0.3223117516808896,-0.30723477136945104
24,1.5,0.75,0.75,0.35,3551,-0.3023692098377881,44.776119402985074,0.4343962675452134,-0.32509062254444143,-0.3036343785789847
48,2.5,0.75,0.75,0.35,3544,-0.30264409744546444,45.71106094808127,0.4406979803682662,-0.3322575147837849,-0.3042933519949296
96,1.5,0.75,0.75,0.35,3538,-0.3027045810224349,45.6472583380441,0.44242700975368326,-0.3306372549019608,-0.30166763367130417
96,2.0,0.75,0.75,0.35,3538,-0.30281763924742083,45.6472583380441,0.4422187598079295,-0.32450980392156864,-0.30562281176594713
24,2.5,0.75,0.75,0.35,3551,-0.3054221939135493,44.747958321599555,0.4286903190637439,-0.3367472508900488,-0.30887676308782863
96,2.5,0.75,0.75,0.35,3538,-0.3074530264718414,45.6472583380441,0.4336805120320289,-0.3379901960784314,-0.3079370195714348
48,2.0,0.75,0.95,0.45,3544,-0.3089884300440338,39.53160270880361,0.4857683078559696,-0.3428552737358708,-0.3078271145807851
48,2.0,1.0,0.75,0.35,3544,-0.30952720974965214,52.793453724604966,0.46918598458807437,-0.3310053796775332,-0.3138664455851803
48,1.5,1.0,0.75,0.35,3544,-0.30963784195767535,52.793453724604966,0.4689962593402612,-0.3346513703717181,-0.31287573326338775
24,2.0,1.0,0.75,0.35,3551,-0.3098412767106899,51.22500704027034,0.4607583649230263,-0.3316944740042802,-0.31714504875686245
24,1.5,1.0,0.75,0.35,3551,-0.3112715684474076,51.25316812165587,0.45826480669787184,-0.33168451917905006,-0.31730610359053835
48,2.5,0.75,0.95,0.45,3544,-0.3114116292914345,39.53160270880361,0.4817355165659674,-0.35854154824567475,-0.30717970311930565
96,2.0,0.75,0.95,0.45,3538,-0.31193772821603505,39.42905596382137,0.4842563535741397,-0.3480392156862745,-0.3093900583767204
24,2.0,0.75,0.95,0.45,3551,-0.3125887118369635,38.665164742326105,0.4717925117425613,-0.3339252244494412,-0.3146702776174717
48,1.5,0.75,0.95,0.45,3544,-0.3126058415498955,39.53160270880361,0.47974805771399676,-0.3465317443241061,-0.3105069298960842
48,2.5,1.0,0.75,0.35,3544,-0.3135708555187336,52.793453724604966,0.46225146064323097,-0.3397984291952475,-0.318043433088536
96,2.0,1.0,0.75,0.35,3538,-0.3136175213620656,52.79819106840022,0.4667739439690013,-0.33127586206896553,-0.31999108294996603
96,1.5,1.0,0.75,0.35,3538,-0.31426760615573435,52.79819106840022,0.46566864172342454,-0.33958333333333335,-0.31806167878757396
24,2.5,0.75,0.95,0.45,3551,-0.3152404375195316,38.665164742326105,0.46731166739566876,-0.34785259117359996,-0.31484397596488034
24,2.5,1.0,0.75,0.35,3551,-0.31578060214804254,51.22500704027034,0.4504216803014907,-0.3435862455638732,-0.3236080013786614
96,1.5,0.75,0.95,0.45,3538,-0.31617741165300517,39.42905596382137,0.47724665388831033,-0.35171568627450983,-0.31671692204290686
24,1.5,0.75,0.95,0.45,3551,-0.3165250267495561,38.69332582371163,0.46513686021908,-0.33547860511691463,-0.31558651302327695
96,2.5,0.75,0.95,0.45,3538,-0.3181841951465043,39.42905596382137,0.47392872937035113,-0.36372549019607847,-0.3138210644552297
96,2.5,1.0,0.75,0.35,3538,-0.3204010148612177,52.79819106840022,0.4552403553195048,-0.34473039215686274,-0.3255686378286465
48,2.0,1.0,0.95,0.45,3544,-0.3228528948924862,46.190744920993225,0.5124564034134047,-0.36294558781901853,-0.3228004650639773
