geo,tt,mm,md,pass,pos_win,pnl,med_pnl,trades
g96_24_10,20,floor0,3,0,4,-366.0,0.0,91
g96_24_10,28,floor0,3,0,4,-366.0,0.0,91
g96_24_10,36,floor0,3,0,4,-366.0,0.0,91
g48_20_10,20,none,3,0,4,-1221.4,0.0,241
g48_20_10,20,soft,3,0,4,-1221.4,0.0,241
g48_20_10,28,none,3,0,4,-1221.4,0.0,241
g48_20_10,28,soft,3,0,4,-1221.4,0.0,241
g48_20_10,36,none,3,0,4,-1221.4,0.0,241
g48_20_10,36,soft,3,0,4,-1221.4,0.0,241
g96_20_10,20,none,4,0,4,-1630.5,-46.0,220
g96_20_10,20,soft,4,0,4,-1630.5,-46.0,220
g96_20_10,28,none,4,0,4,-1630.5,-46.0,220
g96_20_10,28,soft,4,0,4,-1630.5,-46.0,220
g96_20_10,36,none,4,0,4,-1630.5,-46.0,220
g96_20_10,36,soft,4,0,4,-1630.5,-46.0,220
g96_20_10,20,none,3,0,4,-1694.6,0.0,242
g96_20_10,20,soft,3,0,4,-1694.6,0.0,242
g96_20_10,28,none,3,0,4,-1694.6,0.0,242
g96_20_10,28,soft,3,0,4,-1694.6,0.0,242
g96_20_10,36,none,3,0,4,-1694.6,0.0,242
g96_20_10,36,soft,3,0,4,-1694.6,0.0,242
g48_20_10,20,none,4,0,3,-1356.4,-46.0,212
g48_20_10,20,soft,4,0,3,-1356.4,-46.0,212
g48_20_10,28,none,4,0,3,-1356.4,-46.0,212
g48_20_10,28,soft,4,0,3,-1356.4,-46.0,212
g48_20_10,36,none,4,0,3,-1356.4,-46.0,212
g48_20_10,36,soft,4,0,3,-1356.4,-46.0,212
g96_24_10,20,none,4,0,3,-1433.3,-16.6,232
g96_24_10,20,soft,4,0,3,-1433.3,-16.6,232
g96_24_10,28,none,4,0,3,-1433.3,-16.6,232
g96_24_10,28,soft,4,0,3,-1433.3,-16.6,232
g96_24_10,36,none,4,0,3,-1433.3,-16.6,232
g96_24_10,36,soft,4,0,3,-1433.3,-16.6,232
g96_20_10,20,floor0,3,0,2,-606.2,0.0,93
g96_20_10,28,floor0,3,0,2,-606.2,0.0,93
g96_20_10,36,floor0,3,0,2,-606.2,0.0,93
g96_24_10,20,floor0,4,0,2,-1210.1,0.0,143
g96_24_10,28,floor0,4,0,2,-1210.1,0.0,143
g96_24_10,36,floor0,4,0,2,-1210.1,0.0,143
g96_24_10,20,none,3,0,2,-1390.4,-21.1,227
g96_24_10,20,soft,3,0,2,-1390.4,-21.1,227
g96_24_10,28,none,3,0,2,-1390.4,-21.1,227
g96_24_10,28,soft,3,0,2,-1390.4,-21.1,227
g96_24_10,36,none,3,0,2,-1390.4,-21.1,227
g96_24_10,36,soft,3,0,2,-1390.4,-21.1,227
g48_20_10,20,floor0,3,0,1,-540.0,0.0,81
g48_20_10,28,floor0,3,0,1,-540.0,0.0,81
g48_20_10,36,floor0,3,0,1,-540.0,0.0,81
g48_20_10,20,floor0,4,0,1,-742.2,0.0,125
g48_20_10,28,floor0,4,0,1,-742.2,0.0,125
g48_20_10,36,floor0,4,0,1,-742.2,0.0,125
g96_20_10,20,floor0,4,0,1,-847.2,0.0,132
g96_20_10,28,floor0,4,0,1,-847.2,0.0,132
g96_20_10,36,floor0,4,0,1,-847.2,0.0,132
