rebal,cfg,trail_net,n_oos,action,oos_net
2021-11-01,T3.0/H24/long,0.22141187506170176,41,TRADE,0.03653219495914442
2022-05-01,T4.0/H24/long,0.0542039220650442,50,TRADE,-0.1993530526941425
2022-11-01,T4.0/H32/both,-0.017252884101033917,231,ABSTAIN,0.023718650420717254
2023-05-01,T4.0/H16/long,0.05971833780448082,63,TRADE,0.289873182865544
2023-11-01,T4.0/H16/long,0.21383019793086117,190,TRADE,-0.04670755258340659
2024-05-01,T4.0/H32/both,0.0615611496008188,249,TRADE,0.017001274274049186
2024-11-01,T3.0/H24/both,-0.039331986120066526,270,ABSTAIN,0.2081315318359157
2025-05-01,T4.0/H32/both,0.12067212117521293,259,TRADE,-0.052732637259577504
2025-11-01,T4.0/H32/long,0.09047228128461542,55,TRADE,-0.5226910172681934
2026-05-01,T4.0/H24/long,-0.07551065427008938,81,ABSTAIN,-0.33360939103232334
