rebal,cfg,trail_net,n_trail,n_oos
2021-11-01,T3.0/H24/long,0.22141187506170176,153,41
2022-05-01,T4.0/H24/long,0.0542039220650442,97,50
2022-11-01,T4.0/H32/both,-0.017252884101033917,575,231
2023-05-01,T4.0/H16/long,0.05971833780448082,164,63
2023-11-01,T4.0/H16/long,0.21383019793086117,177,190
2024-05-01,T4.0/H32/both,0.0615611496008188,442,249
2024-11-01,T3.0/H24/both,-0.039331986120066526,483,270
2025-05-01,T4.0/H32/both,0.12067212117521293,519,259
2025-11-01,T4.0/H32/long,0.09047228128461542,291,55
2026-05-01,T4.0/H24/long,-0.07551065427008938,248,81
